instance;approach;class;graph_density;link_capacity_ratio;prob_sharing_NFS;Objective_value;number_NFSs;dis_NFS;cent_NFS;number_nodes;number_active_node;proportion_active_node;total_nodes_capacity;total_load_node;av_node_load);most_loaded_node;number_of_arcs;number_active_links;propotyion_number_active_links;total_arc_capacity;total_arc_load;av_link_load;most_loaded_arc;avr_lat
22;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;155.4;13.0;0.0;13.0;10;3;0.3;112.0;0.1875;0.4375;0.875;22;14;0.6363636363636364;539.0;0.38902534226539626;0.5928304143811518;0.9782608695652175;0.37875
23;MILP; tiny_tight_low_strong;0.1;tight;0.1;129.28;10.0;3.0;7.0;10;3;0.3;112.0;0.16071428571428573;0.375;0.5625;24;9;0.375;553.6000000000001;0.16088851216125347;0.36405595610062996;0.8902491408934707;0.224375
23;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;128.8;10.0;0.0;10.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.5625;24;7;0.2916666666666667;553.6000000000001;0.2489528766257225;0.7565463233823825;0.9925766283524904;0.261875
24;MILP; tiny_tight_low_strong;0.1;tight;0.1;112.13999999999999;9.0;0.0;9.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.625;32;9;0.28125;717.8000000000002;0.26166640655945916;0.7890034833104392;0.9839357429718876;0.408125
24;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;112.1;9.0;0.0;9.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.625;32;8;0.25;717.8000000000002;0.24454061019782664;0.8323574441434736;0.9683794466403162;0.40812499999999996
25;MILP; tiny_tight_low_strong;0.1;tight;0.1;150.94999999999996;10.999999999999998;3.9999999999999987;7.0;10;4;0.4;112.0;0.17857142857142855;0.31249999999999994;0.4375;20;11;0.55;450.7999999999999;0.356513778245227;0.6388330239302301;0.978442513368984;0.344375
25;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;152.5;11.0;2.0;9.0;10;3;0.3;112.0;0.17857142857142858;0.4166666666666667;0.6875;20;11;0.55;450.7999999999999;0.3971013447935855;0.7449183758487602;0.9948532283306123;0.349375
26;MILP; tiny_tight_low_strong;0.1;tight;0.1;138.47;11.0;0.0;11.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.5625;24;12;0.5;579.0000000000001;0.2841375215889464;0.5595378748147427;0.7142857142857143;0.311875
26;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;138.5;11.0;0.0;11.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.5625;24;15;0.625;579.0000000000001;0.3957253886010362;0.6458334405191766;0.9207974137931034;0.47562499999999996
27;MILP; tiny_tight_low_strong;0.1;tight;0.1;98.46999999999998;6.999999999999999;1.999999999999999;5.0;10;3;0.3;112.0;0.10714285714285712;0.24999999999999997;0.3125;20;6;0.3;420.40000000000003;0.15677872382380867;0.5950573221673708;0.9557950949367088;0.13625
27;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;98.5;7.0;1.0;6.0;10;4;0.4;112.0;0.10714285714285714;0.1875;0.3125;20;12;0.6;420.40000000000003;0.3465533432338943;0.6298790040734198;0.9557950949367088;0.294375
28;MILP; tiny_tight_low_strong;0.1;tight;0.1;139.7;10.0;0.0;10.0;10;2;0.2;112.0;0.14285714285714285;0.5;0.5625;20;7;0.35;479.99999999999994;0.17314203555385274;0.5085539556064164;0.8223684210526316;0.22625
28;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;139.8;10.0;1.0;9.0;10;4;0.4;112.0;0.14285714285714285;0.25;0.5625;20;14;0.7;479.99999999999994;0.34338395148515705;0.49915422867946724;0.9704660600231539;0.3009375
29;MILP; tiny_tight_low_strong;0.1;tight;0.1;157.89000000000001;13.0;0.0;13.0;10;2;0.2;112.0;0.1875;0.65625;0.6875;18;6;0.3333333333333333;425.0;0.2187683823529412;0.6508527718902982;0.8375563063063063;0.23625000000000002
29;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;158.1;13.0;0.0;13.0;10;3;0.3;112.0;0.1875;0.4375;0.8125;18;9;0.5;425.0;0.2453047715916353;0.4819304901833566;0.8662506961083227;0.20968750000000003
30;MILP; tiny_tight_low_strong;0.1;tight;0.1;111.08;8.0;6.0;2.0;10;2;0.2;112.0;0.125;0.4375;0.6875;28;9;0.32142857142857145;672.8000000000001;0.1950105900713436;0.6002846432519033;0.8668550531914894;0.2475
30;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;115.06;8.0;2.0;6.0;10;3;0.3;112.0;0.125;0.2916666666666667;0.4375;28;6;0.21428571428571427;672.8000000000001;0.14073647443519618;0.6225434231464224;0.8668550531914894;0.18187499999999998
31;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;160.82999999999998;12.0;0.0;12.0;10;2;0.2;560.0;0.03214285714285714;0.1125;0.1375;22;8;0.36363636363636365;1743.8;0.06773103280192683;0.19531719061068895;0.23955514208389714;0.3075
31;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;160.5;12.0;2.0;10.0;10;3;0.3;560.0;0.03214285714285714;0.07500000000000001;0.15000000000000002;22;16;0.7272727272727273;1743.8;0.16704862056105;0.2366247835006328;0.47775241878482844;0.66125
32;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;146.57999999999998;12.0;0.9999999999999996;11.0;10;3;0.3;560.0;0.030357142857142857;0.07083333333333332;0.16249999999999998;22;9;0.4090909090909091;1717.8;0.14299722028175574;0.32760381942568145;0.7579635949943117;0.2525
32;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;146.6;12.0;0.0;12.0;10;2;0.2;560.0;0.030357142857142857;0.10625000000000001;0.1625;22;10;0.45454545454545453;1717.8;0.14333376993829317;0.33446280732081596;0.736128300330033;0.4325
33;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;164.61;12.0;2.0;10.0;10;3;0.3;560.0;0.04285714285714286;0.09999999999999999;0.19999999999999998;20;8;0.4;1422.1999999999996;0.16343517086204476;0.43698034286245846;0.721875;0.26625
33;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;164.6;12.0;0.0;12.0;10;2;0.2;560.0;0.04285714285714286;0.15;0.24999999999999997;20;9;0.45;1422.1999999999996;0.19465134564104544;0.45952188488534457;0.9685174653927485;0.36687499999999995
34;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;190.7;16.0;4.0;12.0;10;3;0.3;560.0;0.04285714285714286;0.09999999999999999;0.125;20;14;0.7;1537.7999999999997;0.2558866147490189;0.37652413402257684;0.6032783435441625;0.29437499999999994
34;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;189.5;16.0;0.0;16.0;10;2;0.2;560.0;0.04285714285714286;0.15000000000000002;0.17500000000000002;20;13;0.65;1537.7999999999997;0.30463568084276244;0.47888832252709157;0.9264154160982265;0.46812500000000007
35;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;117.15999999999998;8.999999999999998;3.999999999999999;5.0;10;3;0.3;560.0;0.021428571428571425;0.049999999999999996;0.07499999999999998;20;11;0.55;1488.9999999999998;0.18385670495721781;0.3381640620997943;0.7746119281045751;0.290625
35;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;116.56;9.0;0.0;9.0;10;3;0.3;560.0;0.02142857142857143;0.05000000000000001;0.07500000000000001;20;13;0.65;1488.9999999999998;0.28436355642058697;0.42692268574514347;0.7746119281045751;0.37187499999999996
36;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;146.73;12.0;2.0;10.0;10;3;0.3;560.0;0.030357142857142857;0.07083333333333335;0.1;20;10;0.5;1404.6000000000001;0.2368779367791542;0.4819651347461278;0.6640625;0.354375
36;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;142.1;12.0;0.0;12.0;10;2;0.2;560.0;0.030357142857142857;0.10625000000000001;0.1375;20;15;0.75;1404.6000000000001;0.3981958873486155;0.5414523791579512;0.9416500664010624;0.5540624999999999
37;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;145.36;11.0;0.0;11.0;10;2;0.2;560.0;0.03571428571428571;0.125;0.17500000000000002;20;9;0.45;1500.8;0.2189457289445629;0.5015059827901983;0.7601351351351352;0.42125
37;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;147.1;11.0;0.0;11.0;10;3;0.3;560.0;0.03571428571428571;0.08333333333333333;0.15000000000000002;20;13;0.65;1500.8;0.24223829748661024;0.3835649589126616;0.8989352755402533;0.42125
38;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;135.55;11.0;9.0;1.9999999999999996;10;3;0.3;560.0;0.025;0.05833333333333334;0.12500000000000003;22;7;0.3181818181818182;1677.2000000000003;0.13131331983796457;0.43525556168236745;0.852762539184953;0.30125
38;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;135.2;11.0;2.0;9.0;10;3;0.3;560.0;0.025;0.05833333333333333;0.11249999999999999;22;9;0.4090909090909091;1677.2000000000003;0.17740612332956787;0.4785755005416459;0.8732253555967516;0.33999999999999997
39;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;252.17999999999998;18.0;6.0;12.0;10;3;0.3;560.0;0.05892857142857143;0.13749999999999998;0.225;26;12;0.46153846153846156;1817.2000000000003;0.2517760839725732;0.5704586934873406;0.730553244592346;0.35124999999999995
39;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;252.1;18.0;12.0;6.0;10;3;0.3;560.0;0.05892857142857143;0.1375;0.3;26;12;0.46153846153846156;1817.2000000000003;0.18224954952785363;0.4077103521633005;0.994053949792701;0.27125
40;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;106.16;8.0;0.0;8.0;10;2;0.2;560.0;0.025;0.0875;0.1125;24;7;0.2916666666666667;1829.0000000000007;0.0628673455440131;0.22834760939687113;0.45215288315629737;0.328125
40;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;103.56;8.0;4.0;4.0;10;4;0.4;560.0;0.025;0.043750000000000004;0.075;24;10;0.4166666666666667;1829.0000000000007;0.044344466100174444;0.11583233403848728;0.3694799492921544;0.194375
41;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;166.48;13.0;0.0;13.0;10;2;0.2;560.0;0.0375;0.13125;0.175;18;5;0.2777777777777778;1324.4;0.1833023444578677;0.6263705162359813;0.8073660714285714;0.34375
41;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;166.6;13.0;0.0;13.0;10;3;0.3;560.0;0.0375;0.08750000000000001;0.2125;18;12;0.6666666666666666;1324.4;0.22249654020941964;0.3194742110357516;0.8073660714285714;0.4375
42;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;207.85000000000002;16.0;9.0;7.0;10;3;0.3;560.0;0.048214285714285716;0.1125;0.175;22;8;0.36363636363636365;1585.1999999999998;0.10253327665321761;0.2909256778547781;0.41848537738506636;0.23062500000000002
42;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;208.9;16.0;0.0;16.0;10;2;0.2;560.0;0.048214285714285716;0.16875;0.3125;22;11;0.5;1585.1999999999998;0.16647253791822078;0.32846114215802785;0.6427764778365632;0.40249999999999997
43;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;128.6;11.0;6.0;5.0;10;3;0.3;560.0;0.026785714285714284;0.0625;0.11249999999999999;20;8;0.4;1556.1999999999996;0.15297678258912056;0.3695389331191234;0.7745038300835655;0.446875
43;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;128.0;11.0;8.0;3.0;10;3;0.3;560.0;0.026785714285714284;0.06250000000000001;0.15000000000000002;20;9;0.45;1556.1999999999996;0.185653941020946;0.41398148420695996;0.8658499438782589;0.26875
44;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;177.17000000000002;14.0;0.0;14.0;10;2;0.2;560.0;0.03214285714285714;0.1125;0.125;22;9;0.4090909090909091;1700.2;0.244750617574403;0.595957532899646;0.9577645051194539;0.36624999999999996
44;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;177.1;14.0;0.0;14.0;10;3;0.3;560.0;0.03214285714285714;0.075;0.1875;22;14;0.6363636363636364;1700.2;0.20195854501070212;0.3238286473211324;0.6742424242424242;0.3275
45;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;156.83999999999997;12.0;3.999999999999999;8.0;10;3;0.3;560.0;0.030357142857142857;0.07083333333333333;0.15000000000000002;30;5;0.16666666666666666;2226.7999999999997;0.0754796681336447;0.4745260980788461;0.7771697388632873;0.183125
45;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;156.0;12.0;0.0;12.0;10;2;0.2;560.0;0.030357142857142857;0.10625000000000001;0.2;30;14;0.4666666666666667;2226.7999999999997;0.13730465241602302;0.3129675168532704;0.6719507269789984;0.5678125
46;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;174.39999999999998;13.0;0.0;13.0;10;2;0.2;560.0;0.03214285714285714;0.11250000000000002;0.1375;18;7;0.3888888888888889;1379.7999999999997;0.1643580591390057;0.4193729949498635;0.6410813630041724;0.3075
46;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;174.2;13.0;0.0;13.0;10;3;0.3;560.0;0.03214285714285714;0.07500000000000001;0.18750000000000003;18;12;0.6666666666666666;1379.7999999999997;0.22320384874881605;0.3422280728994869;0.7181778935630065;0.3421875
47;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;135.38;10.0;0.0;10.0;10;2;0.2;560.0;0.030357142857142857;0.10625000000000001;0.125;18;9;0.5;1303.2;0.1682157381829343;0.346753034130239;0.722685532233883;0.464375
47;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;135.4;10.0;0.0;10.0;10;2;0.2;560.0;0.030357142857142857;0.10625000000000001;0.125;18;9;0.5;1303.2;0.21621265688178143;0.4379597772745049;0.722685532233883;0.464375
48;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;174.59;13.0;1.0;12.0;10;3;0.3;560.0;0.04107142857142857;0.09583333333333333;0.175;18;9;0.5;1296.4;0.24440276920703485;0.4907464186221095;0.6098958333333333;0.325
48;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;172.5;13.0;0.0;13.0;10;2;0.2;560.0;0.04107142857142857;0.14375000000000002;0.23750000000000004;18;11;0.6111111111111112;1296.4;0.34959792502314097;0.5698323934850208;0.9853684971098265;0.350625
49;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;157.04;12.0;0.0;12.0;10;2;0.2;560.0;0.03571428571428571;0.125;0.125;18;9;0.5;1350.6000000000001;0.35343088257070926;0.6940417660320659;0.9495336943441637;0.419375
49;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;157.0;12.0;0.0;12.0;10;3;0.3;560.0;0.03571428571428571;0.08333333333333333;0.125;18;9;0.5;1350.6000000000001;0.34764641640752253;0.6809686401953858;0.9495336943441637;0.3828125
50;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;181.06;15.0;0.0;15.0;10;2;0.2;560.0;0.026785714285714284;0.09375000000000001;0.11250000000000002;22;8;0.36363636363636365;1587.4;0.19153765591533323;0.565595254235734;0.8024061990212072;0.31687499999999996
50;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;181.0;15.0;0.0;15.0;10;2;0.2;560.0;0.026785714285714284;0.09375000000000001;0.11250000000000002;22;10;0.45454545454545453;1587.4;0.23096927365503336;0.5321285700242787;0.8024061990212072;0.366875
51;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;190.81;16.0;4.0;12.0;10;4;0.4;560.0;0.02857142857142857;0.049999999999999996;0.0625;24;14;0.5833333333333334;1801.4000000000005;0.20011810102565467;0.36092739573830057;0.8843298555377207;0.350625
51;Heuristic;tiny_moderate_low_strong;0.1;moderate;0.1;187.2;16.0;6.0;10.0;10;3;0.3;560.0;0.02857142857142857;0.06666666666666667;0.075;24;13;0.5416666666666666;1801.4000000000005;0.07174126022171996;0.13649714922035414;0.4221165279429251;0.10625
52;MILP; tiny_moderate_low_strong;0.1;moderate;0.1;111.94999999999997;8.0;0.0;8.0;10;2;0.2;560.0;0.023214285714285715;0.08125;0.1;18;7;0.3888888888888889;1259.6;0.16444952762781836;0.41963543019302973;0.5687881097560976;0.28375
